Country,North,South,West,East
Angola,-6,-17,22,22
China,41,17,95,122
Indonesia,7,-10,95,135
Malawi,-9,-17,33,36
Nigeria,15,4,4,10
United Republic of Tanzania,-1,-13,30,40
United States of America,42,23,-125,-73
Viet Nam,23,8,102,108
India,30,7,67,97
Madagascar,-11,-26,43,51
Rwanda,-1,-3,28,31
Kenya,5,-5,36,42
Japan,46,30,128,147
Brazil,3,-32,-74,-34
Papua New Guinea,-1,-12,140,155
Haiti,20,18,-75,-70
Mozambique,-20,-27,31,36
Uganda,4,-2,29,35
Mali,16,10,-13,-3
Ethiopia,10,5,35,43
